Date,Price
1/5/2015,2.308
1/12/2015,2.232
1/19/2015,2.157
1/26/2015,2.133
2/2/2015,2.154
2/9/2015,2.276
2/16/2015,2.358
2/23/2015,2.415
3/2/2015,2.556
3/9/2015,2.57
3/16/2015,2.537
3/23/2015,2.538
3/30/2015,2.531
4/6/2015,2.499
4/13/2015,2.494
4/20/2015,2.57
4/27/2015,2.656
5/4/2015,2.749
5/11/2015,2.776
5/18/2015,2.827
5/25/2015,2.857
6/1/2015,2.863
6/8/2015,2.863
6/15/2015,2.918
6/22/2015,2.895
6/29/2015,2.885
7/6/2015,2.877
7/13/2015,2.92
7/20/2015,2.888
7/27/2015,2.833
8/3/2015,2.779
8/10/2015,2.72
8/17/2015,2.803
8/24/2015,2.726
8/31/2015,2.602
9/7/2015,2.532
9/14/2015,2.471
9/21/2015,2.425
9/28/2015,2.418
10/5/2015,2.415
10/12/2015,2.432
10/19/2015,2.374
10/26/2015,2.326
11/2/2015,2.322
11/9/2015,2.335
11/16/2015,2.281
11/23/2015,2.198
11/30/2015,2.165
12/7/2015,2.159
12/14/2015,2.144
12/21/2015,2.133
12/28/2015,2.141
